job,devices,interval_min,L,runs,n_scored,inv_L,main_acc,main_ci_lo,main_ci_hi,main_chance_empirical,main_top_decile_acc,seq_acc,seq_ci_lo,seq_ci_hi,seq_chance_empirical,seq_top_decile_acc,seq_gap3_acc,seq_gap3_share,bound_oracle_chains,bound_oracle_terminals,stage1_hop_acc,origin_content_either
main_40_10,40,10,8.0,200,32108,0.125,0.0003,0.0002,0.0006,0.0004,0.0072,0.0725,0.0697,0.0753,0.0162,0.0806,nan,0.0,0.0671,0.0272,0.0205,0.0011
main_40_15,40,15,5.3,200,21424,0.1887,0.0007,0.0004,0.0011,0.0006,0.0132,0.108,0.1035,0.1126,0.0229,0.1101,nan,0.0,0.0955,0.0428,0.0219,0.0007
main_40_20,40,20,4.0,200,15979,0.25,0.0009,0.0005,0.0014,0.0005,0.03,0.1389,0.1332,0.1446,0.0345,0.1464,nan,0.0,0.1223,0.0568,0.0222,0.0009
main_80_10,80,10,16.0,200,63919,0.0625,0.0004,0.0003,0.0006,0.0003,0.0034,0.0372,0.0357,0.0386,0.0079,0.0399,nan,0.0,0.0355,0.0147,0.0185,0.0007
main_80_15,80,15,10.7,200,42986,0.0935,0.0005,0.0003,0.0008,0.0003,0.0022,0.0546,0.0524,0.0568,0.0114,0.0603,nan,0.0,0.0512,0.0213,0.0199,0.001
main_80_20,80,20,8.0,200,32097,0.125,0.0006,0.0003,0.0008,0.0005,0.0036,0.072,0.0691,0.0751,0.0163,0.0736,nan,0.0,0.0662,0.028,0.0205,0.0008
main_120_10,120,10,24.0,200,95884,0.0417,0.0003,0.0002,0.0003,0.0002,0.0024,0.025,0.024,0.026,0.0046,0.0253,nan,0.0,0.023,0.0094,0.0168,0.0008
main_120_15,120,15,16.0,200,63894,0.0625,0.0005,0.0003,0.0007,0.0003,0.0024,0.0367,0.0354,0.0382,0.0076,0.0373,nan,0.0,0.036,0.0148,0.0184,0.0008
main_120_20,120,20,12.0,200,47881,0.0833,0.0005,0.0003,0.0007,0.0003,0.0019,0.0477,0.0459,0.0497,0.0111,0.0556,nan,0.0,0.0465,0.0189,0.0191,0.001
main_160_10,160,10,32.0,200,128126,0.0312,0.0003,0.0002,0.0004,0.0002,0.0008,0.0181,0.0173,0.0188,0.0031,0.0196,nan,0.0,0.0174,0.0073,0.0151,0.0007
main_160_15,160,15,21.3,200,85641,0.0469,0.0003,0.0002,0.0004,0.0002,0.0029,0.0267,0.0256,0.0278,0.0055,0.0305,nan,0.0,0.0266,0.0104,0.0171,0.0007
main_160_20,160,20,16.0,200,64422,0.0625,0.0004,0.0002,0.0005,0.0003,0.0059,0.0357,0.034,0.0374,0.0073,0.0394,nan,0.0,0.0341,0.0142,0.0183,0.0009
main_200_10,200,10,40.0,200,159959,0.025,0.0002,0.0001,0.0003,0.0002,0.0018,0.0141,0.0135,0.0147,0.0026,0.0159,nan,0.0,0.0141,0.0057,0.0139,0.0005
main_200_15,200,15,26.7,200,106321,0.0375,0.0004,0.0003,0.0006,0.0002,0.0021,0.0213,0.0203,0.0223,0.0041,0.0251,nan,0.0,0.0217,0.0089,0.016,0.0006
main_200_20,200,20,20.0,200,79969,0.05,0.0004,0.0003,0.0006,0.0003,0.0016,0.0292,0.0281,0.0304,0.0054,0.0342,nan,0.0,0.0273,0.0116,0.0175,0.0009
probe_packet_clock,80,15,10.7,20,4214,0.0935,0.0524,0.0464,0.0589,0.0176,0.0587,0.0541,0.0473,0.0611,0.0116,0.0711,nan,0.0,0.0551,0.0209,0.9796,0.9991
probe_shared_device_clock,80,15,10.7,20,4329,0.0935,0.0,0.0,0.0,0.0009,0.0,0.0571,0.0509,0.063,0.0106,0.0737,nan,0.0,0.6757,0.0215,0.0189,0.0002
probe_both_leaks,80,15,10.7,20,4249,0.0935,0.6585,0.643,0.6747,0.0191,0.9102,0.0546,0.0492,0.0601,0.0082,0.0634,nan,0.0,0.6903,0.016,0.9767,0.9986
control_no_lottery,80,15,10.7,20,4250,0.0935,0.9918,0.9895,0.9942,0.9871,0.9977,0.6219,0.5997,0.6445,0.6127,0.8052,1.0,0.0005,0.9929,0.992,0.9995,1.0
bg_0,120,15,16.0,50,16012,0.0625,0.0012,0.0008,0.0017,0.0008,0.0139,0.0385,0.0353,0.0419,0.0064,0.0422,nan,0.0,0.0363,0.0156,0.0847,0.025
bg_5,120,15,16.0,50,16012,0.0625,0.0006,0.0003,0.001,0.0007,0.0043,0.0385,0.0355,0.0419,0.0075,0.0422,nan,0.0,0.0363,0.0156,0.0513,0.0087
bg_100,120,15,16.0,50,16012,0.0625,0.0001,0.0,0.0002,0.0002,0.0,0.0385,0.0352,0.0418,0.0072,0.0422,nan,0.0,0.0363,0.0156,0.0057,0.0001
record_type_ignored,120,15,16.0,50,16012,0.0625,0.0005,0.0002,0.0009,0.0003,0.0,0.0385,0.0354,0.042,0.0079,0.0422,nan,0.0,0.0363,0.0156,0.0179,0.0007
