job,devices,interval_min,L,runs,n_scored,inv_L,main_acc,main_ci_lo,main_ci_hi,main_chance_empirical,main_top_decile_acc,seq_acc,seq_ci_lo,seq_ci_hi,seq_chance_empirical,seq_top_decile_acc,seq_gap3_acc,seq_gap3_share,bound_oracle_chains,bound_oracle_terminals,stage1_hop_acc,origin_content_either
main_40_10,40,10,8.0,200,32108,0.125,0.0003,0.0002,0.0006,0.0006,0.0035,0.0431,0.0408,0.0452,0.0126,0.0464,nan,0.0,0.0671,0.0283,0.0208,0.001
main_40_15,40,15,5.3,200,21424,0.1887,0.0007,0.0004,0.0011,0.0007,0.0129,0.0632,0.06,0.0664,0.0179,0.0677,nan,0.0,0.0955,0.0428,0.0219,0.0012
main_40_20,40,20,4.0,200,15979,0.25,0.001,0.0005,0.0015,0.001,0.0,0.0906,0.0857,0.0955,0.0257,0.1069,nan,0.0,0.1223,0.0576,0.022,0.0011
main_80_10,80,10,16.0,200,63919,0.0625,0.0003,0.0002,0.0005,0.0003,0.0012,0.0216,0.0205,0.0227,0.0059,0.0202,nan,0.0,0.0355,0.0145,0.0184,0.0007
main_80_15,80,15,10.7,200,42986,0.0935,0.0005,0.0003,0.0007,0.0005,0.0022,0.031,0.0294,0.0326,0.0094,0.0312,nan,0.0,0.0512,0.0217,0.0201,0.0009
main_80_20,80,20,8.0,200,32097,0.125,0.0008,0.0005,0.0012,0.0005,0.0037,0.0423,0.04,0.0445,0.0123,0.0431,nan,0.0,0.0662,0.0299,0.0202,0.001
main_120_10,120,10,24.0,200,95884,0.0417,0.0003,0.0002,0.0005,0.0003,0.0042,0.0148,0.014,0.0156,0.0032,0.0156,nan,0.0,0.023,0.0098,0.0166,0.0007
main_120_15,120,15,16.0,200,63894,0.0625,0.0003,0.0002,0.0005,0.0004,0.0,0.0216,0.0204,0.0228,0.0061,0.0242,nan,0.0,0.036,0.0151,0.0182,0.0008
main_120_20,120,20,12.0,200,47881,0.0833,0.0005,0.0003,0.0007,0.0004,0.0094,0.0288,0.0273,0.0303,0.0078,0.0285,nan,0.0,0.0465,0.0197,0.0193,0.001
main_160_10,160,10,32.0,200,128126,0.0312,0.0003,0.0002,0.0004,0.0003,0.0016,0.0105,0.01,0.011,0.0027,0.012,nan,0.0,0.0174,0.0074,0.0152,0.0006
main_160_15,160,15,21.3,200,85641,0.0469,0.0003,0.0002,0.0004,0.0002,0.0007,0.0155,0.0147,0.0164,0.0043,0.0162,nan,0.0,0.0266,0.0109,0.0173,0.0007
main_160_20,160,20,16.0,200,64422,0.0625,0.0003,0.0002,0.0005,0.0005,0.0035,0.0219,0.0207,0.023,0.0055,0.0233,nan,0.0,0.0341,0.0141,0.0183,0.0008
main_200_10,200,10,40.0,200,159959,0.025,0.0002,0.0001,0.0002,0.0001,0.0003,0.0081,0.0076,0.0085,0.0019,0.0086,nan,0.0,0.0141,0.0057,0.0141,0.0006
main_200_15,200,15,26.7,200,106321,0.0375,0.0003,0.0002,0.0004,0.0002,0.0016,0.0124,0.0118,0.0131,0.003,0.0155,nan,0.0,0.0217,0.0084,0.0161,0.0007
main_200_20,200,20,20.0,200,79969,0.05,0.0004,0.0003,0.0006,0.0003,0.0041,0.0172,0.0163,0.0181,0.0045,0.0221,nan,0.0,0.0273,0.0119,0.0175,0.0008
probe_packet_clock,80,15,10.7,20,4214,0.0935,0.0532,0.0472,0.059,0.0157,0.0583,0.0358,0.0297,0.0418,0.0095,0.0379,nan,0.0,0.0551,0.0225,0.9826,0.9981
probe_shared_device_clock,80,15,10.7,20,4329,0.0935,0.0005,0.0,0.0012,0.0007,0.0,0.0305,0.0252,0.0352,0.0102,0.0231,nan,0.0,0.6757,0.0182,0.019,0.0007
probe_both_leaks,80,15,10.7,20,4249,0.0935,0.6484,0.6285,0.6665,0.0188,0.9173,0.0327,0.0279,0.0375,0.0094,0.0271,nan,0.0,0.6903,0.0129,0.9728,0.9972
control_no_lottery,80,15,10.7,20,4250,0.0935,0.9918,0.9895,0.9942,0.9871,0.9977,0.6242,0.6069,0.6429,0.6134,0.7953,nan,0.0,0.9929,0.9918,0.9995,1.0
bg_0,120,15,16.0,50,16012,0.0625,0.0013,0.0009,0.0018,0.0009,0.009,0.022,0.0199,0.0241,0.0053,0.0285,nan,0.0,0.0363,0.0158,0.0849,0.0254
bg_5,120,15,16.0,50,16012,0.0625,0.0004,0.0002,0.0008,0.0006,0.0,0.022,0.0198,0.0241,0.0062,0.0285,nan,0.0,0.0363,0.0158,0.0509,0.0087
bg_100,120,15,16.0,50,16012,0.0625,0.0002,0.0,0.0004,0.0001,0.0147,0.022,0.0198,0.0241,0.0051,0.0285,nan,0.0,0.0363,0.0158,0.0058,0.0001
record_type_ignored,120,15,16.0,50,16012,0.0625,0.0001,0.0,0.0003,0.0004,0.0048,0.022,0.0199,0.0241,0.0059,0.0285,nan,0.0,0.0363,0.0158,0.0178,0.0008
