tier,scenario,variant,devices,interval_min,L,inv_L,runs,n_scored,accuracy,ci_lo,ci_hi,above_inv_L,random_assignment,feasible_candidates,top_decile_accuracy,n_gap_ge_2,gpa_sequencing_same_L,gpa_bound_perfect_chains_same_L
1,F,timing,40,20,4.0,0.25,200,773,0.1462,0.1208,0.1717,False,0.0841,17.66,0.2179,0,0.0906,0.1223
1,F,full,40,20,4.0,0.25,200,773,0.8564,0.8314,0.8821,True,0.5006,3.14,1.0,563,0.0906,0.1223
1,I,timing,40,20,4.0,0.25,200,776,0.1379,0.1129,0.1626,False,0.0812,17.42,0.2179,1,0.0906,0.1223
1,I,full,40,20,4.0,0.25,200,776,0.8492,0.8227,0.8745,True,0.5245,3.14,1.0,562,0.0906,0.1223
1,C,timing,40,20,4.0,0.25,200,782,0.1586,0.1318,0.1857,False,0.0281,76.29,0.1646,0,0.0906,0.1223
2,F,timing,40,10,8.0,0.125,200,1591,0.0779,0.0661,0.0905,False,0.0421,34.42,0.0813,0,0.0431,0.0671
2,F,full,40,10,8.0,0.125,200,1591,0.7536,0.7334,0.7739,True,0.3193,5.67,1.0,865,0.0431,0.0671
2,F,timing,80,10,16.0,0.0625,200,3144,0.0458,0.0383,0.053,False,0.0229,65.65,0.0794,0,0.0216,0.0355
2,F,full,80,10,16.0,0.0625,200,3144,0.6008,0.5833,0.6182,True,0.1514,12.33,0.9524,1117,0.0216,0.0355
2,F,timing,120,10,24.0,0.0417,200,4798,0.0246,0.0205,0.0288,False,0.011,101.02,0.0312,0,0.0148,0.023
2,F,full,120,10,24.0,0.0417,200,4798,0.4792,0.4642,0.4958,True,0.104,19.63,0.775,1220,0.0148,0.023
2,F,timing,200,10,40.0,0.025,200,7947,0.0166,0.0136,0.0198,False,0.0072,166.86,0.0252,0,0.0081,0.0141
2,F,full,200,10,40.0,0.025,200,7947,0.3262,0.3164,0.3362,True,0.0537,35.67,0.4918,1599,0.0081,0.0141
2,I,timing,40,10,8.0,0.125,200,1535,0.0847,0.0723,0.0975,False,0.0365,33.6,0.0844,0,0.0431,0.0671
2,I,full,40,10,8.0,0.125,200,1535,0.7648,0.743,0.787,True,0.3068,5.96,1.0,811,0.0431,0.0671
2,I,timing,80,10,16.0,0.0625,200,3021,0.0427,0.0357,0.0497,False,0.0205,66.88,0.0792,0,0.0216,0.0355
2,I,full,80,10,16.0,0.0625,200,3021,0.6031,0.5855,0.6214,True,0.1549,12.01,0.9637,1071,0.0216,0.0355
2,I,timing,120,10,24.0,0.0417,200,4746,0.0276,0.0231,0.0324,False,0.0129,101.0,0.0421,0,0.0148,0.023
2,I,full,120,10,24.0,0.0417,200,4746,0.4758,0.4603,0.49,True,0.099,19.28,0.7558,1196,0.0148,0.023
2,I,timing,200,10,40.0,0.025,200,8006,0.0179,0.0148,0.0209,False,0.0071,167.72,0.0187,1,0.0081,0.0141
2,I,full,200,10,40.0,0.025,200,8006,0.332,0.3216,0.3421,True,0.0573,35.57,0.5031,1519,0.0081,0.0141
2,C,timing,40,10,8.0,0.125,200,1642,0.092,0.0781,0.1064,False,0.0134,152.84,0.1386,0,0.0431,0.0671
2,C,timing,80,10,16.0,0.0625,200,3357,0.0426,0.0367,0.0486,False,0.0074,318.91,0.0489,0,0.0216,0.0355
2,C,timing,120,10,24.0,0.0417,200,4726,0.0273,0.0228,0.0318,False,0.0036,497.65,0.0381,0,0.0148,0.023
2,C,timing,200,10,40.0,0.025,200,8145,0.0157,0.013,0.0185,False,0.0022,887.53,0.0107,0,0.0081,0.0141
