config,scenario,variant,devices,interval_min,L,inv_L,runs,n_scored,accuracy,ci_lo,ci_hi,above_inv_L,random_assignment,feasible_candidates,top_decile_accuracy,n_gap_ge_2,first_run_same_L,gpa_sequencing_same_L
excl,F,timing,80,20,8.0,0.125,200,1610,0.0758,0.0631,0.0893,False,0.0335,34.58,0.0994,0,0.0779,0.0423
excl,F,full,80,20,8.0,0.125,200,1610,0.6019,0.5777,0.6267,True,0.2826,4.26,0.9938,624,0.7536,0.0423
excl,F,timing,240,20,24.0,0.0417,200,4877,0.0244,0.0202,0.029,False,0.0125,99.24,0.0246,0,0.0246,0.0148
excl,F,full,240,20,24.0,0.0417,200,4877,0.301,0.2888,0.3135,True,0.1046,10.84,0.4918,912,0.4792,0.0148
excl,F,timing,400,20,40.0,0.025,200,7930,0.0173,0.0146,0.0201,False,0.0071,165.68,0.0227,0,0.0166,0.0081
excl,F,full,400,20,40.0,0.025,200,7930,0.1805,0.1715,0.1902,True,0.0541,17.27,0.2812,1335,0.3262,0.0081
excl,I,timing,80,20,8.0,0.125,200,1597,0.0789,0.0666,0.0922,False,0.0388,33.75,0.1062,0,0.0847,0.0423
excl,I,full,80,20,8.0,0.125,200,1597,0.5999,0.5741,0.6233,True,0.2905,4.21,0.9812,609,0.7648,0.0423
excl,I,timing,240,20,24.0,0.0417,200,4754,0.0246,0.0205,0.0289,False,0.0133,99.1,0.0378,0,0.0276,0.0148
excl,I,full,240,20,24.0,0.0417,200,4754,0.2833,0.2715,0.2954,True,0.0953,10.76,0.4811,843,0.4758,0.0148
excl,I,timing,400,20,40.0,0.025,200,8062,0.0174,0.0144,0.0205,False,0.0062,164.85,0.0297,0,0.0179,0.0081
excl,I,full,400,20,40.0,0.025,200,8062,0.1842,0.1755,0.1929,True,0.0557,17.38,0.2825,1347,0.332,0.0081
excl,C,timing,80,20,8.0,0.125,200,1561,0.0846,0.0704,0.0984,False,0.0109,146.81,0.0892,0,0.092,0.0423
excl,C,timing,240,20,24.0,0.0417,200,4786,0.0378,0.0322,0.0439,False,0.0046,478.05,0.0382,0,0.0273,0.0148
excl,C,timing,400,20,40.0,0.025,200,7737,0.0185,0.0155,0.0213,False,0.0028,868.62,0.0179,0,0.0157,0.0081
ring,F,timing,80,20,8.0,0.125,200,1610,0.0758,0.0629,0.0892,False,0.0335,34.58,0.0994,0,0.0779,0.0423
ring,F,full,80,20,8.0,0.125,200,1610,0.2422,0.2224,0.2624,True,0.0193,56.2,0.5963,435,0.7536,0.0423
ring,F,timing,240,20,24.0,0.0417,200,4877,0.0244,0.02,0.0289,False,0.0125,99.24,0.0246,0,0.0246,0.0148
ring,F,full,240,20,24.0,0.0417,200,4877,0.0753,0.0682,0.0831,True,0.0066,167.74,0.1762,810,0.4792,0.0148
ring,F,timing,400,20,40.0,0.025,200,7930,0.0173,0.0145,0.02,False,0.0071,165.68,0.0227,0,0.0166,0.0081
ring,F,full,400,20,40.0,0.025,200,7930,0.0311,0.027,0.0355,True,0.0039,277.83,0.0681,748,0.3262,0.0081
ring,I,timing,80,20,8.0,0.125,200,1597,0.0789,0.0656,0.0915,False,0.0388,33.75,0.1062,0,0.0847,0.0423
ring,I,full,80,20,8.0,0.125,200,1597,0.2498,0.2286,0.273,True,0.0131,57.24,0.5938,443,0.7648,0.0423
ring,I,timing,240,20,24.0,0.0417,200,4754,0.0246,0.0205,0.029,False,0.0133,99.1,0.0378,0,0.0276,0.0148
ring,I,full,240,20,24.0,0.0417,200,4754,0.0732,0.0665,0.0803,True,0.0059,167.07,0.1765,785,0.4758,0.0148
ring,I,timing,400,20,40.0,0.025,200,8062,0.0174,0.0146,0.0203,False,0.0062,164.85,0.0297,0,0.0179,0.0081
ring,I,full,400,20,40.0,0.025,200,8062,0.0323,0.0282,0.0363,True,0.0032,280.12,0.0706,808,0.332,0.0081
ring,C,timing,80,20,8.0,0.125,200,1561,0.0846,0.0703,0.0999,False,0.0109,146.81,0.0892,0,0.092,0.0423
ring,C,timing,240,20,24.0,0.0417,200,4786,0.0378,0.0321,0.0432,False,0.0046,478.05,0.0382,0,0.0273,0.0148
ring,C,timing,400,20,40.0,0.025,200,7737,0.0185,0.0155,0.0215,False,0.0028,868.62,0.0179,0,0.0157,0.0081
